Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Bild;Rabattgruppe;Gewicht;id;
03-1000023;2,30;Sechskantschraube M6x40 vz;;Hexagon head screw M6x40 galvanised;;Vis à tête hexagonale M6x40 zinguée;;Vite esagonale M6x40 zincata;;Šestrobi vijak M6x40, pocinkan;;Tornillo de cabeza hexagonal M6x40 vz;;;;;;;;;;;Ersatzt;0,01;434814;
03-1000024;2,30;Sechskantschraube M6x50 vz;;Hexagon head screw M6x50 galvanised;;Vis à tête hexagonale M6x50 zinguée;;Vite esagonale M6x50 zincata;;Šestrobi vijak M6x50, pocinkan;;Tornillo de cabeza hexagonal M6x50 vz;;;;;;;;;;;Ersatzt;0,01;434815;
03-1000026;2,30;Sechskantschraube M6x80 vz;;Hexagon head screw M6x80 galvanised;;Vis à tête hexagonale M6x80 zinguée;;Vite esagonale M6x80 zincata;;Šestrobi vijak M6x80, pocinkan;;Tornillo hexagonal M6x80 galv.;;;;;;;;;;;Ersatzt;0,02;437920;
03-1000027;2,30;Sechskantschraube M8x12 vz;;Hexagon head screw M8x12 galvanised;;Vis à tête hexagonale M8x12 zinguée;;Vite esagonale M8x12 zincata;;Šestrobi vijak M8 x 12, pocinkan;;Tornillo hexagonal M8x12 galv.;;;;;;;;;;;Ersatzt;0,01;437945;
03-1000029;2,30;Sechskantschraube M8x16 vz;;Hexagon head screw M8x16 galvanised;;Vis à tête hexagonale M8x16 zinguée;;Vite esagonale M8x16 zincata;;Šestrobi vijak M8x16, pocinkan;;Tornillo de cabeza hexagonal M8x16 vz;;;;;;;;;;;Ersatzt;0,01;434816;
03-1000032;2,30;Sechskantschraube M8x20 vz;;Hexagon head screw M8x20 galvanised;;Vis à tête hexagonale M8x20 zinguée;;Vite esagonale M8x20 zincata;;Šestrobi vijak M8x20, pocinkan;;Tornillo de cabeza hexagonal M8x20 vz;;;;;;;;;;;Ersatzt;0,01;434817;
03-1000033;2,60;Sechskantschraube M8x20;;Hexagon head screw M8x20;;Vis à tête hexagonale M8x20                                    ;;Vite esagonale M8x20;;Šestrobi vijak M8x20                                           ;;Tornillo hexagonal M8x20;;;;;;;;;;;Ersatzt;0,01;434818;
03-1000034;2,30;Sechskantschraube M8x25 vz;;Hexagon head screw M8x25 galvanised;;Vis à tête hexagonale M8x25 zinguée;;Vite esagonale M8x25 zincata;;Šestrobi vijak M8x25, pocinkan;;Tornillo de cabeza hexagonal M8x25 vz;;;;;;;;;;;Ersatzt;0,01;434819;
03-1000036;2,30;Sechskantschraube M8x30 vz;;Hexagon head screw M8x30 galvanised;;Vis à tête hexagonale M8x30 zinguée;;Vite esagonale M8x30 zincata;;Šestrobi vijak M8x30, pocinkan;;Tornillo de cabeza hexagonal M8x30 vz;;;;;;;;;;;Ersatzt;0,02;434820;
03-1000038;2,30;Sechskantschraube M8x35 vz;;Hexagon head screw M8x35 galvanised;;Vis à tête hexagonale M8x35 zinguée;;Vite esagonale M8x35 zincata;;Šestrobi vijak M8x35, pocinkan;;Tornillo de cabeza hexagonal M8x35 vz;;;;;;;;;;;Ersatzt;0,02;434821;
03-1000039;2,30;Sechskantschraube M8x40 vz;;Hexagon head screw M8x40 galvanised;;Vis à tête hexagonale M8x40 zinguée;;Vite esagonale M8x40 zincata;;Šestrobi vijak M8x40, pocinkan;;Tornillo hexagonal M8x40 galv.;;;;;;;;;;;Ersatzt;0,02;434822;
03-1000040;2,30;Sechskantschraube M8x45 vz;;Hexagon head screw M8x45 galvanised;;Vis à tête hexagonale M8x45 zinguée;;Vite esagonale M8x45 zincata;;Šestrobi vijak M8x45, pocinkan;;Tornillo de cabeza hexagonal M8x45 vz;;;;;;;;;;;Ersatzt;0,02;434823;
03-1000042;2,30;Sechskantschraube M8x50 vz;;Hexagon head screw M8x50 galvanised;;Vis à tête hexagonale M8x50 zinguée;;Vite esagonale M8x50 zincata;;Šestrobi vijak M8x50, pocinkan;;Tornillo hexagonal M8x50 galv.;;;;;;;;;;;Ersatzt;0,03;434824;
03-1000045;2,30;Sechskantschraube M8x55 vz;;Hexagon head screw M8x55 galvanised;;Vis à tête hexagonale M8x55 zinguée;;Vite esagonale M8x55 zincata;;Šestrobi vijak M8x55, pocinkan;;Tornillo hexagonal M8x55 galv.;;;;;;;;;;;Ersatzt;0,02;434825;
03-1000046;2,30;Sechskantschraube M8x60 vz;;Hexagon head screw M8x60 galvanised;;Vis à tête hexagonale M8x60 zinguée;;Vite esagonale M8x60 zincata;;Šestrobi vijak M8x60, pocinkan;;Tornillo hexagonal M8x60 galv.;;;;;;;;;;;Ersatzt;0,03;434826;
03-1000049;2,30;Sechskantschraube M8x80 vz;;;;;;;;;;;;;;;;;;;;;Ersatzt;0,05;439302;
03-1000052;2,30;Sechskantschraube M10x20 vz;;Hexagon head screw M10x20 galvanised;;Vis à tête hexagonale M10x20 zinguée;;Vite esagonale M10x20 zincata;;Šestrobi vijak M10x20, pocinkan;;Tornillo de cabeza hexagonal M10x20 vz;;;;;;;;;;;Ersatzt;0,02;434827;
03-1000054;2,30;Sechskantschraube M10x25 vz;;Hexagon head screw M10x25 galvanised;;Vis à tête hexagonale M10x25 zinguée;;Vite esagonale M10x25 zincata;;Šestrobi vijak M10x25, pocinkan;;Tornillo de cabeza hexagonal M10x25 vz;;;;;;;;;;;Ersatzt;0,02;434828;
03-1000056;2,30;Sechskantschraube M10x30 vz;;Hexagon head screw M10x30 galvanised;;Vis à tête hexagonale M10x30 zinguée;;Vite esagonale M10x30 zincata;;Šestrobi vijak M10x30, pocinkan;;Tornillo de cabeza hexagonal M10x30 vz;;;;;;;;;;;Ersatzt;0,03;434829;
03-1000058;2,30;Sechskantschraube M10x35 vz;;Hexagon head screw M10x35 galvanised;;Vis à tête hexagonale M10x35 zinguée;;Vite esagonale M10x35 zincata;;Šestrobi vijak M10x35, pocinkan;;Tornillo de cabeza hexagonal M10x35 vz;;;;;;;;;;;Ersatzt;0,03;434830;
03-1000059;2,30;Sechskantschraube M10x40 vz;;Hexagon head screw M10x40 galvanised;;Vis à tête hexagonale M10x40 zinguée;;Vite esagonale M10x40 zincata;;Šestrobi vijak M10x40, pocinkan;;Tornillo de cabeza hexagonal M10x40 vz;;;;;;;;;;;Ersatzt;0,04;434831;
03-1000062;5,10;Sechskantschraube M10x45 vz;;Hexagon head screw M10x45 galvanised;;Vis à tête hexagonale M10x45 zinguée;;Vite esagonale M10x45 zincata;;Šestrobi vijak M10x45, pocinkan;;Tornillo hexagonal M10x45 galv.;;;;;;;;;;;Ersatzt;0,04;434832;
03-1000063;2,30;Sechskantschraube M10x50 vz;;Hexagon head screw M10x50 galv.;;Vis à tête hexagonale M10x50 galv.;;Vite esagonale M10x50 zincata;;Šestrobi vijak M10 x 50, pocinkan;;Tornillo hexagonal M10x50 galv.;;;;;;;;;;;Ersatzt;0,04;434833;
03-1000068;2,60;Sechskantschraube M10x70 vz;;Hexagon head screw M10x70 galvanised;;Vis à tête hexagonale M10x70 zinguée;;Vite esagonale M10x70 zincata;;Šestrobi vijak M10x70, pocinkan;;Tornillo hexagonal M10x70 galv.;;;;;;;;;;;Ersatzt;0,05;434834;
03-1000069;2,40;Sechskantschraube M10x80 vz;;Hexagon head screw M10x80 galvanised;;Vis à tête hexagonale M10x80 zinguée;;Vite esagonale M10x80 zincata;;Šestrobi vijak M10x80, pocinkan;;Tornillo hexagonal M10x80 galv.;;;;;;;;;;;Ersatzt;0,05;434835;
03-1000071;3,00;Sechskantschraube M10x85 vz;;Hexagon head screw M10x85 galvanised;;Vis à tête hexagonale M10x85 zinguée;;Vite esagonale M10x85 zincata;;Šestrobi vijak M10x85, pocinkan;;Tornillo de cabeza hexagonal M10x85 vz;;;;;;;;;;;Ersatzt;0,06;434836;
03-1000072;2,90;Sechskantschraube M10x110 vz;;Hexagon head screw M10x110 galvanised;;Vis à tête hexagonale M10x110 zinguée;;Vite esagonale M10x110 zincata;;Šestrobi vijak M10x110, pocinkan;;Tornillo hexagonal M10x110 galv.;;;;;;;;;;;Ersatzt;0,07;437943;
03-1000073;4,80;Sechskantschraube M12x110 vz;;Hexagon head screw M12x110 galvanised;;Vis à tête hexagonale M12x110 zinguée;;Vite esagonale M12x110 zincata;;Šestrobi vijak M12x110, pocinkan;;Tornillo de cabeza hexagonal M12x110 vz;;;;;;;;;;;Ersatzt;0,10;434837;
03-1000077;2,30;Sechskantschraube M12x25 vz;;Hexagon head screw M12x25 galvanised;;Vis à tête hexagonale M12x25 zinguée;;Vite esagonale M12x25 zincata;;Šestrobi vijak M12x25, pocinkan;;Tornillo hexagonal M12x25 galv.;;;;;;;;;;;Ersatzt;0,05;438565;
03-1000080;4,20;Sechskantschraube M12x30 vz;;Hexagon head screw M12x30 galvanised;;Vis à tête hexagonale M12x30 zinguée;;Vite esagonale M12x30 zincata;;Šestrobi vijak M12x30, pocinkan;;Tornillo hexagonal M12x30 galv.;;;;;;;;;;;Ersatzt;0,04;434838;
03-1000085;2,80;Sechskantschraube M12x55 vz;;Hexagon head screw M12x55 galvanised;;Vis à tête hexagonale M12x55 zinguée;;Vite esagonale M12x55 zincata;;Šestrobi vijak M12x55, pocinkan;;Tornillo hexagonal M12x55 galv.;;;;;;;;;;;Ersatzt;0,06;434839;
03-1000086;2,60;Sechskantschraube M12x60 vz;;Hexagon head screw M12x60 galvanised;;Vis à tête hexagonale M12x60 zinguée;;Vite esagonale M12x60 zincata;;Šestrobi vijak M12x60, pocinkan;;Tornillo hexagonal M12x60 galv.;;;;;;;;;;;Ersatzt;0,06;434840;
03-1000088;2,30;Sechskantschraube M12x70 vz;;;;;;;;;;;;;;;;;;;;;Ersatzt;0,10;439301;
03-1000089;2,90;Sechskantschraube M14x30 vz;;Hexagon head screw M14x30 galvanised;;Vis à tête hexagonale M4x30 zinguée;;Vite esagonale M14x30 zincata;;Šestrobi vijak M14x30, pocinkan;;Tornillo hexagonal M14x30 galv.;;;;;;;;;;;Ersatzt;0,06;437921;
03-1000091;8,10;Sechskantschraube M16x100 vz;;Hexagon head screw M16x100 galvanised;;Vis à tête hexagonale M16x100 zinguée;;Vite esagonale M14x100 zincata;;Šestrobi vijak M16x100, pocinkan;;Tornillo de cabeza hexagonal M16x100 vz;;;;;;;;;;;Ersatzt;0,18;434841;
03-1000092;7,00;Sechskantschraube M16x130 vz;;Hexagon head screw M16x130 galvanised;;Vis à tête hexagonale M16x130 zinguée;;Vite esagonale M16x130 zincata;;Šestrobi vijak M16x130, pocinkan;;Tornillo hexagonal M16x130 galv.;;;;;;;;;;;Ersatzt;0,22;434842;
03-1000093;5,80;Sechskantschraube M16x65 vz;;Hexagon head screw M16x65 galvanised;;Vis à tête hexagonale M16x65 zinguée;;Vite esagonale M16x65 zincata;;Šestrobi vijak M16x65, pocinkan;;Tornillo de cabeza hexagonal M16x65 vz;;;;;;;;;;;Ersatzt;0,13;434843;
03-1000095;2,40;Sechskantschraube M20x90 vz;;;;Vis à tête hexagonale M20x90                                   ;;;;Šestrobi vijak M20x90                                          ;;;;;;;;;;;;;Ersatzt;0,27;438787;
03-1000098;2,30;Zylinderschraube M4x20 vz;;Cylindrical screw M4x20 galvanised;;Vis à tête cylindrique M4x20 zinguée;;Vite a testa cilindrica M4x20 zincata;;Cilindri?ni vijak M4x20, pocinkan;;Tornillo cilíndrico M4x20 galv.;;;;;;;;;;;Ersatzt;0,00;434844;
03-1000100;2,30;Zylinderschraube M5x12 vz;;Cylindrical screw M5x12 galvanised;;Vis à tête cylindrique M5x12 zinguée;;Vite a testa cilindrica M5x12 zincata;;Cilindri?ni vijak M5x12, pocinkan;;Tornillo de cabeza cilíndrica M5x12 vz;;;;;;;;;;;Ersatzt;0,00;434845;
03-1000101;2,30;Zylinderschraube M6x16 vz;;Cylindrical screw M6x16 galvanised;;Vis à tête cylindrique M6x16 zinguée;;Vite a testa cilindrica M6x16 zincata;;Cilindri?ni vijak M6x16, pocinkan;;Tornillo de cabeza cilíndrica M6x16 vz;;;;;;;;;;;Ersatzt;0,01;434846;
03-1000102;2,30;Zylinderschraube M6x12 vz;;Cylindrical screw M6x12 galvanised;;Vis à tête cylindrique M6x12 zinguée;;Vite a testa cilindrica M6x12 zincata;;Cilindri?ni vijak M6x12, pocinkan;;Tornillo de cabeza cilíndrica M6x12 vz;;;;;;;;;;;Ersatzt;0,01;434847;
03-1000105;2,90;Zylinderschraube M8x100 vz;;Cylindrical screw M8x100 galvinised                            ;;Vis à tête cylindrique M8x100                                  ;;Vite a testa cilincrica M8x100 zincata;;Cilindri?ni vijak M8x100                                       ;;;;;;;;;;;;;Ersatzt;0,04;438708;
03-1000107;2,30;Zylinderschraube M8x20 vz;;Cylindrical screw M8x20 galvanised;;Vis à tête cylindrique M8x20 zinguée;;Vite a testa cilindrica M8x20 zincata;;Cilindri?ni vijak M8 x 20, pocinkan;;Tornillo cilíndrico M8x20 galv.;;;;;;;;;;;Ersatzt;0,01;434848;
03-1000108;2,30;Zylinderschraube M8x25 vz;;Cylindrical screw M8x25 galvanised;;Vis à tête cylindrique M8x25 zinguée;;Vite a testa cilindrica M8x25 zincata;;Cilindri?ni vijak M8x25, pocinkan;;Tornillo cilíndrico M8x25 galv.;;;;;;;;;;;Ersatzt;0,02;434849;
03-1000109;2,30;Zylinderschraube M8x30 vz;;Cylindrical screw M8x30 galvanised;;Vis à tête cylindrique M8x30 zinguée;;Vite a testa cilindrica M8x30 zincata;;Cilindri?ni vijak M8x30, pocinkan;;Tornillo cilíndrico M8x30 galv.;;;;;;;;;;;Ersatzt;0,02;434850;
03-1000110;2,30;Zylinderschraube M8x40 vz;;Cylindrical screw M8x40 galvanised;;Vis à tête cylindrique M8x40 zinguée;;Vite a testa cilindrica M8x40 zincata;;Cilindri?ni vijak M8x40, pocinkan;;Tornillo de cabeza cilíndrica M8x40 vz;;;;;;;;;;;Ersatzt;0,02;434851;
03-1000112;2,30;Zylinderschraube M8x80 vz;;Cylindrical screw M8x80 galvanised;;Vis à tête cylindrique M8x80 zinguée;;Vite a testa cilindrica M8x80 zincata;;Cilindri?ni vijak M8 x 80, pocinkan;;Tornillo cilíndrico M8x80 galv.;;;;;;;;;;;Ersatzt;0,04;434852;
03-1000113;2,60;Zylinderschraube M8x90 vz;;Cylindrical screw M8x90 galvanised;;Vis à tête cylindrique M8x90 zinguée;;Vite a testa cilindrica M8x90 zincata;;Cilindri?ni vijak M8x90, pocinkan;;Tornillo de cabeza cilíndrica M8x90 vz;;;;;;;;;;;Ersatzt;0,04;434853;
03-1000115;5,10;Zylinderschraube M10x70 vz;;;;;;;;Cilinderski vijak M10x70 vz;;;;;;;;;;;;;Ersatzt;0,05;439144;
03-1000116;5,10;Zylinderschraube M10x80;;Cylindrical screw M10x80;;Vis à tête cylindrique M10x80                                  ;;Vite a testa cilindrica M10x80;;Cilindri?ni vijak M10x80                                       ;;Tornillo cilíndrico M10x80;;;;;;;;;;;Ersatzt;0,05;434854;
03-1000119;2,30;Senkschraube M4x12 vz;;Countersunk screw M4x12 galvanised;;Vis à tête fraisée M4x12 zinguée;;Vite a testa svasata M4x12 zincata;;Ugrezni vijak M4x12, pocinkan;;Tornillo de cabeza avellanada M4x12 vz ;;;;;;;;;;;Ersatzt;0,00;434855;
03-1000122;2,30;Senkschraube M4x10 vz;;Countersunk screw M4x10 galvanised;;Vis à tête fraisée M4x10 zinguée;;Vite a testa svasata M4x10 zincata;;Ugrezni vijak M4x10, pocinkan;;Tornillo de cabeza avellanada M4x10 vz ;;;;;;;;;;;Ersatzt;0,00;434856;
03-1000127;2,30;Senkschraube M5x10 vz;;;;Vis à tête fraisée M5x10                                       ;;;;Vgrezni vijak M5x10                                            ;;;;;;;;;;;;;Ersatzt;;438778;
03-1000128;2,30;Senkschraube M5x16 vz;;Countersunk screw M5x16 galvanised;;Vis à tête fraisée M5x16 zinguée;;Vite a testa svasata M5x16 zincata;;Ugrezni vijak M5x16, pocinkan;;Tornillo avellanado M5x16 galv.;;;;;;;;;;;Ersatzt;0,00;434857;
03-1000131;2,30;Senkschraube M6x12 vz;;Countersunk screw M6x12 galvanised;;Vis à tête fraisée M6x12 zinguée;;Vite a testa svasata M6x12 zincata;;Ugrezni vijak M6x12, pocinkan;;Tornillo hexagonal M6x12 galv.;;;;;;;;;;;Ersatzt;;434858;
03-1000132;2,30;Senkschraube M6x16 vz;;Countersunk screw M6x16 galvanised;;Vis à tête fraisée M6x16 zinguée;;Vite a testa svasata M6x16 zincata;;Ugrezni vijak M6x16, pocinkan;;Tornillo de cabeza avellanada M6x16 vz ;;;;;;;;;;;Ersatzt;0,00;434859;
03-1000133;2,30;Senkschraube M6x20 vz;;Countersunk screw M6x20 galvanised;;Vis à tête fraisée M6x20 zinguée;;Vite a testa svasata M6x20 zincata;;Ugrezni vijak M6x20, pocinkan;;Tornillo avellanado M6x20 galv.;;;;;;;;;;;Ersatzt;;434860;
03-1000134;2,30;Senkschraube M6x20 A2;;Countersunk screw M6x20 stainless;;Vis à tête fraisée M6x20 Niro;;Vite a testa svasata M6x20 Niro;;Ugrezni vijak M6x20 Niro;;Tornillo de cabeza avellanada M6x20 vz Niro;;;;;;;;;;;Ersatzt;0,01;434861;
03-1000136;2,30;Senkschraube M8x20 vz;;Countersunk screw M8x20 stainless;;Vis à tête fraisée M8x20 zinguée;;Vite a testa svasata M8x20 zincata;;Ugrezni vijak M8x20, pocinkan;;Tornillo de cabeza avellanada M8x20 vz;;;;;;;;;;;Ersatzt;0,00;434862;
03-1000139;2,30;Senkschraube M8x30 vz;;Countersunk screw M8x30 stainless;;Vis à tête fraisée M8x30 zinguée;;Vite a testa svasata M8x30 zincata;;Ugrezni vijak M8x30, pocinkan;;Tornillo avellanado M8x30 galv.;;;;;;;;;;;Ersatzt;0,02;434863;
03-1000146;2,30;Bohrschraube Ø4,2x13 vz;;Self-drilling screw Ø4.2x13 galvanised;;Vis autoperceuse Ø4,2x13 zinguée;;Vite autoperforante Ø4,2x13 zincata;;Samovrtalni vijak Ø4,2x13, pocinkan;;Tornillo autorroscante 4,2x13 vz;;;;;;;;;;;Ersatzt;0,00;434864;
03-1000147;2,30;Bohrschraube Ø5,5x19 vz;;Self-drilling screw Ø5.5x19 galvanised;;Vis autoperceuse Ø5,5x19 zinguée;;Vite autoperforante Ø5,5x19 zincata;;Samovrtalni vijak Ø5,5x19, pocinkan;;Tornillo autorroscante 5,5x19 vz;;;;;;;;;;;Ersatzt;0,00;434865;
03-1000149;2,30;Linsen-Bohrschraube 3,5x13 vz;;Oval self-drilling screw 3.5x13 galvanised;;Vis autoperceuse à tête bombée 3,5x13 zinguée;;Vite autoperforante a testa cilindrica 3,5x13 zincata;;Samovrtalni vijak z le?asto glavo 3,5x13, pocinkan;;Tornillos de 3,5 x13 lente vz;;;;;;;;;;;Ersatzt;0,00;434866;
03-1000152;2,30;Bohrschraube Ø5,5x16 vz;;Self-drilling screw Ø5.5x16 galvanised;;Vis autoperceuse Ø5,5x16 zinguée;;Vite autoperforante Ø5,5x16 zincata;;Samovrtalni vijak Ø5,5x16, pocinkan;;Tornillo autorroscante 5,5x16 vz;;;;;;;;;;;Ersatzt;0,00;434867;
03-1000155;2,30;Bohrschraube Ø5,5x25 vz;;Self-drilling screw Ø5.5x25 galvanised;;Vis autoperceuse Ø5,5x25 zinguée;;Vite autoperforante Ø5,5x25 zincata;;Samovrtalni vijak Ø5,5x25, pocinkan;;Tornillo perforador Ø5,5x25 galv.;;;;;;;;;;;Ersatzt;0,01;434868;
03-1000156;2,30;Linsen-Bohrschraube 4.2x32mm;;Oval self-drilling screw 4.2x32mm;;Vis autoperceuse à tête bombée 4,2x32mm;;Vite autoperforante a testa cilindrica 4.2x32mm;;Samovrtalni vijak z le?asto glavo 4,2x32mm;;Tornillo autorroscante alomado 4.2x32mm;;;;;;;;;;;Ersatzt;0,00;434869;
03-1000160;2,30;Senkbohrschraube 2,9x13mm;;Countersunk self-drilling screw 2.9x13mm;;Vis autoperceuse à tête fraisée 2,9x13                         ;;Vite autoperforante a testa svasata piana 2,9x13mm;;Ugrezni samovrtalni vijak 2,9x13mm;;Tornillo avellanado autorroscante 2,9x13mm;;;;;;;;;;;Ersatzt;0,00;434870;
03-1000161;2,30;Bohrschraube Ø4,2x19 vz;;Self-drilling screw Ø4.2x19 galvanised;;Vis autoperceuse Ø4,2x13 zinguée;;Vite autoperforante Ø4,2x19 zincata;;Samovrtalni vijak Ø4,2x19, pocinkan;;Tornillo perforador Ø4,2x19 galv.;;;;;;;;;;;Ersatzt;0,00;434871;
03-1000166;2,30;Blechschraube Ø2,9x6,5 vz;;Self-tapping screw Ø2.9x6.5 galvanised;;Vis tôle Ø2,9x6,5 zinguée;;Vite per lamiera Ø2,9x6,5 zincata;;Vijak za plo?evino Ø2,9x6,5, pocinkan;;Tornillo de chapa 2,9x6,5 vz;;;;;;;;;;;Ersatzt;0,00;434872;
03-1000170;2,30;Blechschraube Ø4,2x19;;Self-tapping screw Ø4.2x19;;Vis tôle Ø4,2x19;;Vite per lamiera Ø4,2x19;;Vijak za plo?evino Ø4,2x19;;Tornillo roscachapa Ø4,2x19;;;;;;;;;;;Ersatzt;0,00;434873;
03-1000172;2,30;Blechschraube Ø2,9x25 vz;;Self-tapping screw Ø2.9x25 galvanised;;Vis tôle Ø2,9x25 zinguée;;Vite per lamiera Ø2,9x25 zincata;;Plo?evinasti vijak Ø2,9x25, pocinkan;;Tornillo roscachapa Ø2,9x25 galv.;;;;;;;;;;;Ersatzt;0,00;434874;
03-1000173;2,30;Senk-Blechschraube 3,5x9,5 vz Senkkopf;;Countersunk self-tapping screw 3.5x9.5 galv. countersunk head;;Vis tôle à tête fraisée 3,5x9,5, tête fraisée zinguée;;Vite a testa svasata per lamiera 3,5x9,5 zincata;;Vijak za plo?evino z ugrezno glavo 3,5x9,5, pocinkan;;Tornillo roscachapa avellanado 3,5x9,5 galv.;;;;;;;;;;;Ersatzt;0,00;434875;
03-1000174;2,30;Senk-Blechschraube 3,5x13vz Senkkopf;;Countersunk self-tapping screw 3.5x13 galv. countersunk head;;Vis tôle à tête fraisée 3,5x13, tête fraisée zinguée;;Vite a testa svasata per lamiera 3,5x13 zincata;;Vijak za plo?evino z ugrezno glavo 3,5x13, pocinkan;;Tornillo roscachapa avellanado 3,5x13 galv.;;;;;;;;;;;Ersatzt;0,00;434876;
03-1000175;2,30;Senk-Blechschraube 2,9x16 vz Senkkopf;;Countersunk self-tapping screw 2.9x16 galv. countersunk head   ;;Vis tôle à tête fraisée 2,9x16, tête fraisée zinguée;;Vite a testa svasata per lamiera 2,9x16 zincata;;Vijak za plo?evino z ugrezno glavo 2,9x16, pocinkan;;Tornillo roscachapa avellanado 2,9x16 galv.;;;;;;;;;;;Ersatzt;0,00;434877;
03-1000176;2,30;Linsenschraube M2,5 x 5 A2 für Zündrohr;;Pan head screw M2.5x5 A2 for ignition pipe;;Vis à tête cylindrique bombée M2,5 x 5 A2 pr conduit d'allumage;;Vite a testa cilindrica M2,5 x 5 A2 tubo di accensione;;Vijak z le?asto glavo M2,5x5 A2 za vžigalno cev;;Tornillo alomado M2,5 x 5 A2 para tubo de encendido USP;;;;;;;;;;;Ersatzt;0,00;434878;
03-1000179;2,30;Linsenschraube M4x8 vz;;Pan head screw M4x8 galvanised;;Vis à tête cylindrique bombée M4x8 zinguée;;Vite a testa cilindrica tonda M4x8 zincata;;Vijak z le?asto glavo M4x8, pocinkan;;Tornillo alomado M4x8 galv.;;;;;;;;;;;Ersatzt;0,00;434879;
03-1000180;2,30;Linsenschraube M5x16 vz;;Pan head screw M5x16 galvanised;;Vis à tête cylindrique bombée M5x16 zinguée;;Vite a testa cilindrica tonda M5x16 zincata;;Vijak z le?asto glavo M5x16, pocinkan;;Tornillo alomado M5x16 vz;;;;;;;;;;;Ersatzt;0,00;434880;
03-1000184;2,30;Linsenschraube M4x12 vz;;Pan head screw M4x12 galvanised;;Vis à tête cylindrique bombée M4x12 zinguée;;Vite a testa cilindrica tonda M4x12 zincata;;Vijak z le?asto glavo M4x12, pocinkan;;Tornillo alomado M4x12 vz;;;;;;;;;;;Ersatzt;0,00;434881;
03-1000185;2,30;Linsenschraube M4x6 vz;;Pan head screw M4x6 galvanised;;Vis à tête cylindrique bombée M4x6 zinguée;;Vite a testa cilindrica tonda M4x6 zincata;;Vijak z le?asto glavo M4x6, pocinkan;;Tornillo alomado M4x6 vz;;;;;;;;;;;Ersatzt;0,00;434882;
03-1000187;2,30;Linsenschraube M4x50 vz;;Oval head screw M4x5 galv.;;Vis à tête cylindrique bombée M4x50 galv.;;Vite a testa cilindrica tonda M4x50 zincata;;Vijak z lecasto glavo M4 x 50, pocinkan;;Tornillo alomado M4x50 galv.;;;;;;;;;;;Ersatzt;0,01;434883;
03-1000188;2,30;Linsenschraube M4x30 vz;;Pan head screw M4x30 galvanised;;Vis à tête cylindrique bombée M4x30 zinguée;;Vite a testa cilindrica tonda M4x30 zincata;;Vijak z le?asto glavo M4x30, pocinkan;;Tornillo alomado M4x30 vz;;;;;;;;;;;Ersatzt;0,00;434884;
03-1000189;2,30;Linsenschraube M5x30 vz;;Pan head screw M5x30 galvinised                                ;;Vis à tête cylindrique bombée M5x30 galv.                      ;;;;;;;;;;;;;;;;;Ersatzt;0,05;438930;
03-1000191;2,30;Gewindefurchende Schraube M4x12;;Self-tapping screw M4x12;;Vis autotaraudeuse M4x12                                       ;;Vite autofilettante M4x12;;Samovrezni vijak M4x12                                         ;;Tornillo con tanura de rosca;;;;;;;;;;;Ersatzt;0,00;434885;
03-1000195;2,30;Gewindefurchende Schraube M5x16;;Self-tapping screw M5x16;;Vis autotaraudeuse M5x16                                       ;;Vite autofilettante M5x16;;Samovrezni vijak M5x16                                         ;;Tornillo autorroscante M5x16;;;;;;;;;;;Ersatzt;0,00;434886;
03-1000200;2,30;Spanplattenschraube TX20 4x40 gelb vz.;;Chipboard screw TX20 4x40 yellow galvanised;;Vis à bois aggloméré TX20 4x40 zinguée jaune;;Vite per truciolare TX20 4x40 gialla zincata;;Univerzalni vijak TX20 4x40, rumen pocinkan;;Tornillo para tablero de viruta TX20 4x40 galv. amarillo;;;;;;;;;;;Ersatzt;0,00;434887;
